,station_name,closeness
940GZZDLALL,All Saints,0.06375838926174497
940GZZLULRD,Latimer Road,0.06366550116550117
910GRCTRYRD,Rectory Road,0.06357288332848414
910GCLAPTON,Clapton,0.06342525399129173
940GZZLUCPS,Clapham South,0.06331498116487974
940GZZLUTNG,Turnham Green,0.06303187653252561
940GZZLUQPS,Queen's Park,0.06297737426142096
940GZZLURYL,Rayners Lane,0.06275129236071224
940GZZLUSTM,Stanmore,0.06245533800200086
940GZZLUHSC,Hammersmith,0.06214448236632537
940GZZDLRVC,Royal Victoria,0.0621179815209666
940GZZDLWSV,West Silvertown,0.062065047578468965
940GZZLUWOG,Wood Green,0.06203861442362294
940GZZLURVP,Ravenscourt Park,0.062029808374733854
940GZZLUBLR,Blackhorse Road,0.06182795698924731
940GZZDLSHS,Stratford High Street,0.061324726354195905
940GZZLUPNR,Pinner,0.061316121790374635
940GZZLUEHM,East Ham,0.06128172766792876
910GMANRPK,Manor Park,0.06122163070888204
940GZZLUEAN,East Acton,0.06096540178571429
910GSHPDSB,Shepherd's Bush (Rail),0.06090592334494774
940GZZLUWLA,Wood Lane,0.06087198774202535
940GZZLUSWF,South Woodford,0.060736622654621264
910GHARLSDN,none,0.06066074403109384
940GZZDLSOQ,South Quay,0.060601858272084315
940GZZLURBG,Redbridge,0.06056826056826057
910GKENSLG,none,0.060526315789473685
910GACTNCTL,Acton Central,0.060526315789473685
910GDALS,Dalston Junction,0.060517933804182245
940GZZLUPSG,Parsons Green,0.06050117679634501
910GCROUCHH,Crouch Hill,0.06045932484781406
940GZZLUHGT,Highgate,0.06026754930354434
940GZZLUACT,Acton Town,0.06017625998347562
940GZZLUGGN,Golders Green,0.06013485619925692
910GSTKNWNG,Stoke Newington,0.05997804007685973
940GZZLUSHH,South Harrow,0.05996980924934815
940GZZDLLDP,Langdon Park,0.05994513031550069
940GZZLUCWP,Chiswick Park,0.05973209404045927
910GSTJMSST,St James Street,0.05971576933588412
940GZZLUBLM,Balham,0.05963427947598253
940GZZLUGHK,Goldhawk Road,0.059569247546346786
940GZZLUKSL,Kensal Green,0.05938306835167822
940GZZLUGBY,Gunnersbury,0.0593346911065852
940GZZLUSFB,Stamford Brook,0.05931858286955342
940GZZLUEAE,Eastcote,0.0591339648173207
940GZZLUSBM,Shepherd's Bush Market,0.05872866550194866
940GZZDLCUS,Custom House,0.058586941949322964
940GZZDLPDK,Pontoon Dock,0.0584928389773792
940GZZLUBDS,Bounds Green,0.05848501070663811
940GZZLUNAN,North Acton,0.058430271426661316
940GZZLUWWL,Walthamstow Central,0.05823560767590618
940GZZLUNWH,Northwood Hills,0.05791915175612989
940GZZLUBKG,Barking,0.05787312938683618
940GZZDLSTD,Stratford (DLR 1),0.057865466101694914
910GILFORD,Ilford,0.05785014561821551
910GKENOLYM,none,0.057819528975919555
910GHAGGERS,Haggerston,0.057469752761704365
940GZZLUSUH,Sudbury Hill,0.057469752761704365
940GZZLUECM,Ealing Common,0.05745464107283724
940GZZLUWOF,Woodford,0.057431988434748324
910GSTNBGPK,none,0.05736413756891572
940GZZDLCLA,Crossharbour,0.0572514083584436
940GZZLUGTH,Gants Hill,0.05720644063359078
910GHRGYGL,Harringay Green Lanes,0.057139121338912136
910GSACTON,South Acton,0.05712418300653595
910GQPRK,none,0.05712418300653595
940GZZLUPYB,Putney Bridge,0.057116716769049794
940GZZLUEFY,East Finchley,0.056938110749185665
940GZZLUSEA,South Ealing,0.056915863506121385
940GZZLUBTX,Brent Cross,0.056790123456790124
910GSTMFDHL,Stamford Hill,0.05675324675324675
910GWLTWCEN,Walthamstow Central (Rail),0.05640165203923593
940GZZLUTBC,Tooting Bec,0.05634347601856627
940GZZLUWJN,Willesden Junction,0.05616244698624855
940GZZLUWTA,West Acton,0.05610476312748748
940GZZLUKWG,Kew Gardens,0.05603282472111809
940GZZLURSM,Ruislip Manor,0.05589664875927347
940GZZLUEBY,Ealing Broadway,0.055428716387620494
940GZZDLPRE,Prince Regent,0.05542168674698795
940GZZLUNEN,North Ealing,0.05540060851926978
940GZZLUASG,Arnos Grove,0.05530245507466464
940GZZDLLCA,London City Airport,0.055295457421232444
940GZZLUHGR,Hanger Lane,0.055295457421232444
940GZZLUSUT,Sudbury Town,0.05522557816251738
910GWBRMPTN,none,0.055030852537463794
940GZZLUNOW,Northwood,0.05486503452605147
910GSVNKNGS,Seven Kings,0.054816859006522826
940GZZLUUPY,Upney,0.054809983694970525
940GZZDLPUD,Pudding Mill Lane,0.05474818341267853
910GHOXTON,Hoxton,0.05471391010391887
940GZZDLSIT,Stratford International,0.05470706059088633
940GZZLURVY,Roding Valley,0.05440059753516743
910GWMBY,none,0.05439382623848643
940GZZLUBKH,Buckhurst Hill,0.054373522458628844
940GZZDLMUD,Mudchute,0.054238550328906544
940GZZLUPKR,Park Royal,0.0541981892595808
940GZZLUNBP,Newbury Park,0.0541981892595808
