,station_name,degree
940GZZLULBN,Lambeth North,0.004576659038901602
910GHOXTON,Hoxton,0.004576659038901602
910GHAGGERS,Haggerston,0.004576659038901602
910GDALS,Dalston Junction,0.004576659038901602
910GNORWDJ,Norwood Junction,0.004576659038901602
910GANERLEY,Anerley,0.004576659038901602
910GPENEW,Penge West,0.004576659038901602
910GFORESTH,Forest Hill,0.004576659038901602
910GHONROPK,Honor Oak Park,0.004576659038901602
940GZZLUNDN,Neasden,0.004576659038901602
910GWNSTDPK,Wanstead Park,0.004576659038901602
940GZZDLWSV,West Silvertown,0.004576659038901602
910GCLDNNRB,Caledonian Road & Barnsbury,0.004576659038901602
910GRTHERHI,Rotherhithe,0.004576659038901602
910GWAPPING,Wapping,0.004576659038901602
910GSHADWEL,Shadwell (Rail),0.004576659038901602
910GWCHAPEL,Whitechapel (Rail),0.004576659038901602
910GHACKNYW,Hackney Wick,0.004576659038901602
910GHOMRTON,Homerton,0.004576659038901602
910GHACKNYC,Hackney Central,0.004576659038901602
940GZZLUNWY,North Wembley,0.004576659038901602
910GHGHI,Highbury & Islington (Rail),0.004576659038901602
910GCMDNRD,Camden Road,0.004576659038901602
910GNEWXGTE,New Cross Gate,0.004576659038901602
910GKNTSHTW,Kentish Town West,0.004576659038901602
910GHMPSTDH,Hampstead Heath,0.004576659038901602
910GFNCHLYR,Finchley Road & Frognal,0.004576659038901602
910GBRBY,Brondesbury,0.004576659038901602
910GBRBYPK,Brondesbury Park,0.004576659038901602
910GKENR,Kensal Rise,0.004576659038901602
910GACTNCTL,Acton Central,0.004576659038901602
940GZZDLLCA,London City Airport,0.004576659038901602
940GZZDLPDK,Pontoon Dock,0.004576659038901602
910GCNDAW,Canada Water (Rail),0.004576659038901602
910GSHRDHST,Shoreditch High Street,0.004576659038901602
910GLYTNSHR,Leytonstone High Road,0.004576659038901602
910GCRPNDPK,Carpenders Park,0.004576659038901602
910GLEYTNMR,Leyton Midland Road,0.004576659038901602
910GWLTHQRD,Walthamstow Queens Road,0.004576659038901602
910GBLCHSRD,Blackhorse Road (Rail),0.004576659038901602
910GSTOTNHM,South Tottenham,0.004576659038901602
910GHRGYGL,Harringay Green Lanes,0.004576659038901602
910GCROUCHH,Crouch Hill,0.004576659038901602
910GUPRHLWY,Upper Holloway,0.004576659038901602
910GHEDSTNL,Headstone Lane,0.004576659038901602
910GHTCHEND,Hatch End,0.004576659038901602
910GWATFDHS,Watford High Street,0.004576659038901602
910GPCKHMQD,Queens Road Peckham,0.004576659038901602
910GBUSHEY,Bushey,0.004576659038901602
910GSHMPSTD,South Hampstead,0.004576659038901602
910GCSEAH,Imperial Wharf,0.004576659038901602
910GWBRMPTN,none,0.004576659038901602
910GCLPHMJ1,Clapham Junction,0.004576659038901602
910GWNDSWRD,Wandsworth Road,0.004576659038901602
910GCLPHHS,Clapham High Street,0.004576659038901602
910GDENMRKH,Denmark Hill,0.004576659038901602
910GPCKHMRY,Peckham Rye,0.004576659038901602
910GNWEMBLY,none,0.004576659038901602
940GZZLUKBY,Kingsbury,0.004576659038901602
910GSKENTON,none,0.004576659038901602
940GZZLUOAK,Oakwood,0.004576659038901602
940GZZLUHR4,Heathrow Terminal 4,0.004576659038901602
